"STATISTIC","Statistic Label","C02169V02615","Trips","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20081","2008Q1","Thousand","3304.7"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20082","2008Q2","Thousand","4210.2"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20083","2008Q3","Thousand","4900.7"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20084","2008Q4","Thousand","3300.8"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20091","2009Q1","Thousand","2941.9"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20092","2009Q2","Thousand","3801.5"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20093","2009Q3","Thousand","4314.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20094","2009Q4","Thousand","2918.9"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20101","2010Q1","Thousand","2523.9"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20102","2010Q2","Thousand","3214.5"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20103","2010Q3","Thousand","4133.8"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20104","2010Q4","Thousand","2736.8"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20111","2011Q1","Thousand","2445.2"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20112","2011Q2","Thousand","3558"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20113","2011Q3","Thousand","4114.1"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20114","2011Q4","Thousand","2680.7"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20121","2012Q1","Thousand","2399.9"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20122","2012Q2","Thousand","3544.7"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20123","2012Q3","Thousand","4099.9"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20124","2012Q4","Thousand","2798.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20131","2013Q1","Thousand","2460.6"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20132","2013Q2","Thousand","3645.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20133","2013Q3","Thousand","4293.5"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20134","2013Q4","Thousand","2909.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20141","2014Q1","Thousand","2496.1"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20142","2014Q2","Thousand","3917.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20143","2014Q3","Thousand","4552"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20144","2014Q4","Thousand","3153.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20151","2015Q1","Thousand","2837.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20152","2015Q2","Thousand","4272.5"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20153","2015Q3","Thousand","4957.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20154","2015Q4","Thousand","3540.8"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20161","2016Q1","Thousand","3262.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20162","2016Q2","Thousand","4574.2"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20163","2016Q3","Thousand","5314.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20164","2016Q4","Thousand","3837.9"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20171","2017Q1","Thousand","3364.8"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20172","2017Q2","Thousand","4888.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20173","2017Q3","Thousand","5590.6"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20174","2017Q4","Thousand","4027.2"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20181","2018Q1","Thousand","3519.8"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20182","2018Q2","Thousand","5200"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20183","2018Q3","Thousand","5901.8"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20184","2018Q4","Thousand","4270.8"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20191","2019Q1","Thousand","3753.9"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20192","2019Q2","Thousand","5425.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20193","2019Q3","Thousand","6108.4"
"TMQ11","Overseas Trips to and from Ireland","-","All Trips","20194","2019Q4","Thousand","4334.4"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20081","2008Q1","Thousand","1762.5"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20082","2008Q2","Thousand","2050.8"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20083","2008Q3","Thousand","2428.3"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20084","2008Q4","Thousand","1635.8"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20091","2009Q1","Thousand","1539.8"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20092","2009Q2","Thousand","1899.6"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20093","2009Q3","Thousand","2137.1"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20094","2009Q4","Thousand","1472.9"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20101","2010Q1","Thousand","1439.2"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20102","2010Q2","Thousand","1673.1"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20103","2010Q3","Thousand","2137.2"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20104","2010Q4","Thousand","1322.5"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20111","2011Q1","Thousand","1266.4"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20112","2011Q2","Thousand","1753"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20113","2011Q3","Thousand","1962.4"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20114","2011Q4","Thousand","1311"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20121","2012Q1","Thousand","1234.8"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20122","2012Q2","Thousand","1727.5"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20123","2012Q3","Thousand","2003.2"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20124","2012Q4","Thousand","1360.4"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20131","2013Q1","Thousand","1208.9"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20132","2013Q2","Thousand","1752.4"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20133","2013Q3","Thousand","2032.6"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20134","2013Q4","Thousand","1329.3"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20141","2014Q1","Thousand","1153.5"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20142","2014Q2","Thousand","1790.8"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20143","2014Q3","Thousand","2111.7"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20144","2014Q4","Thousand","1458.5"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20151","2015Q1","Thousand","1306.1"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20152","2015Q2","Thousand","1927.5"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20153","2015Q3","Thousand","2186.5"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20154","2015Q4","Thousand","1544.8"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20161","2016Q1","Thousand","1477.7"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20162","2016Q2","Thousand","1975.3"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20163","2016Q3","Thousand","2252.9"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20164","2016Q4","Thousand","1698.7"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20171","2017Q1","Thousand","1568.7"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20172","2017Q2","Thousand","2119"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20173","2017Q3","Thousand","2495"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20174","2017Q4","Thousand","1756.3"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20181","2018Q1","Thousand","1599.1"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20182","2018Q2","Thousand","2248.1"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20183","2018Q3","Thousand","2571"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20184","2018Q4","Thousand","1858"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20191","2019Q1","Thousand","1727.2"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20192","2019Q2","Thousand","2403.6"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20193","2019Q3","Thousand","2773.9"
"TMQ11","Overseas Trips to and from Ireland","3","Overseas Trips by Irish Residents","20194","2019Q4","Thousand","1909.7"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20081","2008Q1","Thousand","1542.2"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20082","2008Q2","Thousand","2159.4"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20083","2008Q3","Thousand","2472.4"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20084","2008Q4","Thousand","1665"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20091","2009Q1","Thousand","1402.2"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20092","2009Q2","Thousand","1901.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20093","2009Q3","Thousand","2177.3"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20094","2009Q4","Thousand","1446.1"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20101","2010Q1","Thousand","1084.8"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20102","2010Q2","Thousand","1541.4"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20103","2010Q3","Thousand","1996.6"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20104","2010Q4","Thousand","1414.3"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20111","2011Q1","Thousand","1178.8"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20112","2011Q2","Thousand","1805"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20113","2011Q3","Thousand","2151.7"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20114","2011Q4","Thousand","1369.7"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20121","2012Q1","Thousand","1165.1"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20122","2012Q2","Thousand","1817.3"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20123","2012Q3","Thousand","2096.7"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20124","2012Q4","Thousand","1438"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20131","2013Q1","Thousand","1251.7"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20132","2013Q2","Thousand","1893"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20133","2013Q3","Thousand","2261"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20134","2013Q4","Thousand","1580.1"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20141","2014Q1","Thousand","1342.5"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20142","2014Q2","Thousand","2126.6"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20143","2014Q3","Thousand","2440.4"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20144","2014Q4","Thousand","1694.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20151","2015Q1","Thousand","1531.3"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20152","2015Q2","Thousand","2344.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20153","2015Q3","Thousand","2770.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20154","2015Q4","Thousand","1995.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20161","2016Q1","Thousand","1784.7"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20162","2016Q2","Thousand","2598.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20163","2016Q3","Thousand","3061.5"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20164","2016Q4","Thousand","2139.2"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20171","2017Q1","Thousand","1796.1"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20172","2017Q2","Thousand","2769.4"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20173","2017Q3","Thousand","3095.6"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20174","2017Q4","Thousand","2270.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20181","2018Q1","Thousand","1920.7"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20182","2018Q2","Thousand","2951.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20183","2018Q3","Thousand","3330.9"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20184","2018Q4","Thousand","2412.8"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20191","2019Q1","Thousand","2026.7"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20192","2019Q2","Thousand","3021.8"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20193","2019Q3","Thousand","3334.4"
"TMQ11","Overseas Trips to and from Ireland","4","Overseas Trips to Ireland by Non-Residents","20194","2019Q4","Thousand","2424.6"
